Date,Equipment
2023-01-01,Laser
2023-01-02,CaSO4
2023-01-04,Optical Spectrometer
2023-01-05,Balance Scale
2023-01-07,Electron Microscope
2023-01-08,Magnetic Stirrer
2023-01-10,Spectrophotometer
2023-01-11,Petri Dish
2023-01-13,Incubator
2023-01-14,PH Meter
2023-01-16,Beaker
2023-01-17,Pipette
2023-01-19,Bunsen Burner
2023-01-20,Test Tube
2023-01-22,UV-Vis Spectrophotometer
2023-01-23,Desiccator
2023-01-25,Gas Chromatograph
2023-01-26,Atomic Absorption Spectrometer
2023-01-28,Flask
2023-01-29,Spectrofluorometer
2023-01-31,Conical Flask
2023-02-01,Refractometer
2023-02-03,Burette
2023-02-04,Conductivity Meter
2023-02-06,Calorimeter
2023-02-07,Distillation Apparatus
2023-02-09,Drying Oven
2023-02-10,Volumetric Flask
2023-02-12,Centrifuge
2023-02-13,Microscope
2023-02-15,Mass Spectrometer
2023-02-16,Furnace
2023-02-18,Electrochemical Analyzer
2023-02-19,Colorimeter
2023-02-21,Magnetic Resonance Spectrometer
2023-02-22,Autoclave
2023-02-24,Chromatography Column
2023-02-25,Hot Plate
2023-02-27,Analytical Balance
2023-02-28,Polarimeter
2023-03-02,Syringe
2023-03-03,Viscometer
2023-03-05,PH Indicator
2023-03-06,Orbital Shaker
2023-03-08,Electrophoresis System
2023-03-09,Condenser
2023-03-11,Filter Paper
2023-03-12,Separatory Funnel
2023-03-14,Agar Plate
2023-03-15,Heating Mantle
2023-03-17,Water Bath
2023-03-18,Vacuum Pump
2023-03-20,Amber Bottle
2023-03-21,Filter Flask
2023-03-23,Graduated Cylinder
2023-03-24,Evaporating Dish
2023-03-26,Analytical Balance
2023-03-27,PH Meter
2023-03-29,Desiccator
2023-03-30,Test Tube Rack
2023-04-01,Burette
2023-04-02,Pipette
2023-04-04,Syringe Filter
2023-04-05,Conical Flask
2023-04-07,Volumetric Flask
2023-04-08,Test Tube
2023-04-10,Petri Dish
2023-04-11,Microscope
2023-04-13,Centrifuge
2023-04-14,Filtration Apparatus
2023-04-16,Spectrophotometer
2023-04-17,Laminar Flow Hood
2023-04-19,Incubator
2023-04-20,UV-Vis Spectrophotometer
2023-04-22,Magnetic Stirrer
2023-04-23,Orbital Shaker
2023-04-25,Analytical Balance
2023-04-26,Distillation Apparatus
2023-04-28,Hot Plate
2023-04-29,Furnace
2023-05-01,Calorimeter
2023-05-02,Gas Chromatograph
2023-05-04,Homogenizer
2023-05-05,Mass Spectrometer
2023-05-07,Atomic Absorption Spectrometer
2023-05-08,Electron Microscope
2023-05-10,Desiccator
2023-05-11,Drying Oven
2023-05-13,Magnetic Resonance Spectrometer
2023-05-14,Electrochemical Analyzer
2023-05-16,Polarimeter
2023-05-17,Colorimeter
